feature,importance
nick_smooth_over200,415
mother_name_smooth_over200,308
nick_smooth_mean,288
trainer_smooth_over200,284
mother_name_smooth_mean,248
nick_count,186
sire_smooth_over200,106
sire_smooth_mean,93
price_man,74
trainer_count,62
farm_trainer_smooth_over200,57
chest,54
mother_name_count,46
weight,45
bms_name_count,32
cannon,32
farm_trainer_smooth_mean,31
sire_count,26
farm_trainer_count,25
bms_name_smooth_mean,17
bms_name_smooth_over200,17
height,15
trainer_smooth_mean,9
birth_month,8
sex_num,1
farm_count,1
farm_smooth_mean,0
farm_smooth_over200,0
